orb of transmutation|진화의 오브
whispering essence of hatred|속삭이는 증오의 에센스
muttering essence of anger|불평하는 분노의 에센스
weeping essence of rage|흐느끼는 격노의 에센스
deafening essence of envy|귀를 찢는 선망의 에센스
shrieking essence of zeal|악을 쓰는 열의의 에센스
deafening essence of dread|귀를 찢는 불안의 에센스
shrieking essence of wrath|악을 쓰는 진노의 에센스
deafening essence of fear|귀를 찢는 두려움의 에센스
deafening essence of anguish|귀를 찢는 비통의 에센스
screaming essence of anger|절규하는 분노의 에센스
shrieking essence of envy|악을 쓰는 선망의 에센스
muttering essence of hatred|불평하는 증오의 에센스
shrieking essence of spite|악을 쓰는 악의의 에센스
deafening essence of woe|귀를 찢는 비애의 에센스
shrieking essence of fear|악을 쓰는 두려움의 에센스
wailing essence of loathing|울부짖는 혐오의 에센스
wailing essence of spite|울부짖는 악의의 에센스
whispering essence of woe|속삭이는 비애의 에센스
wailing essence of anger|울부짖는 분노의 에센스
weeping essence of fear|흐느끼는 두려움의 에센스
screaming essence of spite|절규하는 악의의 에센스
screaming essence of misery|절규하는 비참의 에센스
essence of delirium|섬망의 에센스
wailing essence of contempt|울부짖는 경멸의 에센스
deafening essence of doubt|귀를 찢는 의심의 에센스
deafening essence of torment|귀를 찢는 고뇌의 에센스
whispering essence of greed|속삭이는 탐욕의 에센스
screaming essence of loathing|절규하는 혐오의 에센스
screaming essence of envy|절규하는 선망의 에센스
shrieking essence of rage|악을 쓰는 격노의 에센스
muttering essence of sorrow|불평하는 슬픔의 에센스
screaming essence of fear|절규하는 두려움의 에센스
shrieking essence of misery|악을 쓰는 비참의 에센스
shrieking essence of doubt|악을 쓰는 의심의 에센스
weeping essence of hatred|흐느끼는 증오의 에센스
weeping essence of greed|흐느끼는 탐욕의 에센스
remnant of corruption|타락의 유물
deafening essence of hatred|귀를 찢는 증오의 에센스
essence of horror|경악의 에센스
muttering essence of fear|불평하는 두려움의 에센스
screaming essence of rage|절규하는 격노의 에센스
wailing essence of fear|울부짖는 두려움의 에센스
deafening essence of scorn|귀를 찢는 멸시의 에센스
muttering essence of greed|불평하는 탐욕의 에센스
screaming essence of contempt|절규하는 경멸의 에센스
wailing essence of suffering|울부짖는 고통의 에센스
whispering essence of contempt|속삭이는 경멸의 에센스
wailing essence of woe|울부짖는 비애의 에센스
muttering essence of torment|불평하는 고뇌의 에센스
weeping essence of woe|흐느끼는 비애의 에센스
shrieking essence of woe|악을 쓰는 비애의 에센스
weeping essence of suffering|흐느끼는 고통의 에센스
essence of insanity|광기의 에센스
muttering essence of woe|불평하는 비애의 에센스
weeping essence of wrath|흐느끼는 진노의 에센스
weeping essence of anger|흐느끼는 분노의 에센스
shrieking essence of scorn|악을 쓰는 멸시의 에센스
black mórrigan|검은 모리건
fenumal queen|페누무스 여왕
nadia the soothing|위로하는 나디아
the dweller of the deep|심연의 주인
craicic chimeral|크라칸의 키메랄
saqawine retch|사카왈 레치
farric lynx alpha|페룰 스라소니 우두머리
primal crushclaw|원시 박살발톱
farric goliath|페룰의 골리앗
the great white bones|거대한 백색 뼈
wild hellion alpha|야생 헬리온 우두머리
craicic sand spitter|크라칸의 모래 전갈
farric taurus|페룰 황소자리
the conqueror wurm|정복자 웜
craicic squid|크라칸의 오징어
black death|어둠의 사신
saqawine rhex|사카왈 렉스
farric goatman|페룰 염소인간
farrul, first of the plains|평야의 최초, 페룰
paradisae venenum|극락조의 독
farric gargantuan|페룰 가르강튀아
farric ursa|페룰 곰
fenumal scorpion|페누무스 전갈
thistlesage|엉겅퀴세이지
saqawine cobra|사카왈 코브라
craicic savage crab|크라칸의 사나운 게
craicic watcher|크라칸의 감시자
primal cystcaller|원시 낭종소환사
fenumal scrabbler|페누무스 넝마주이
amarissa, daughter of merveil|머베일의 딸 아마릿사
craicic maw|크라칸의 큰턱개구리
boulderback|바위등
steelchaw|강철우걱
saqawine vulture|사카왈 시체매
farric magma hound|페룰 마그마 사냥개
wild bristle matron|야생 털짐승 어미
farric wolf alpha|페룰의 늑대 우두머리
vivid vulture|혈기 시체매
the hundred foot shadow|백 걸음의 그림자
vivid abberarach|혈기 애버라라크
fenumal devourer|페누무스 포식자
farric flame hellion alpha|페룰 화염 헬리온 우두머리
saqawine rhoa|사카왈 로아
the great white beast|거대한 백색 야수
fenumal widow|페누무스 과부 거미
wild brambleback|야생 가시나무등
tunnelworm|터널벌레
craicic shield crab|크라칸의 방패게
craiceann, first of the deep|심해의 최초, 크라칸
saqawal, first of the sky|하늘의 최초, 사카왈
the basilisk|바실리스크
brinecrack|염수균열
yellow beast|노란 야수
raihara, tukohama's loyal|투코하마의 충견 라이하라
ungulath|운굴라스
q'uru|쿠루
hollowskull, the willing host|자발적 숙주 텅빈해골
vivid watcher|혈기 감시자
saqawine blood viper|사카왈 피 독사
eyepecker|눈부리
craicic spider crab|크라칸의 거미게
the faun|판
the burning menace|불타는 존재
farric tiger alpha|페룰 호랑이 우두머리
primal rhex matriarch|원시 렉스 어미
farric ape|페룰 유인원
aidan the frenzied|격분한 에이단
oozeback bloom|등진물 무쇠부리
farric pit hound|페룰 구덩이 사냥개
fenumal hybrid arachnid|페누무스 잡종 거미류
fenumus, first of the night|밤의 최초, 페누무스
craicic vassal|크라칸의 봉신
farric frost hellion alpha|페룰 서리 헬리온 우두머리
brood princess|영충 공주
ambrosia, daughter of merveil|머베일의 딸 암브로시아
the weaver|직공
saqawine chimeral|사카왈 키메랄
farric chieftain|페룰 부족장
fenumal plagued arachnid|페누무스 역병 걸린 거미류
deadly joy|치명적인 기쁨
the journalist|집필가
the chosen|선택받은 자
hubris|오만
boon of justice|정의의 은혜
the journey|여행
the brawny battle mage|건장한 전투 마법사
the betrayal|배신
dying light|죽어가는 빛
the academic|학구열
assassin's favour|암살자의 호의
the eye of the dragon|용의 눈
eternal bonds|영원한 유대
the darkest dream|암울한 꿈
house of mirrors|거울의 집
azure rage|담청색 격노
nook's crown|누크의 왕관
auspicious ambitions|상서로운 야망
the cheater|사기꾼
the dreamland|꿈의 세계
the risk|위험
the last one standing|최후의 승자
echoes of love|사랑의 메아리
the fox in the brambles|가시나무에 얽힌 여우
the dungeon master|던전의 주인
gift of asenath|아세나스의 선물
the cataclysm|대재앙
the breach|균열
immortal resolve|불멸의 결의
merciless armament|무자비한 병기
struck by lightning|번개에 맞다
the valley of steel boxes|강철 상자의 계곡
the blazing fire|맹렬한 화염
the prince of darkness|어둠의 대공
the drunken aristocrat|만취한 귀족
the tireless extractor|끈기 있는 추출자
the thaumaturgist|마석학자
vanity|자만심
the gulf|만
dying anguish|죽음의 비통함
the poet|시인
terrible secret of space|우주의 끔찍한 비밀
baited expectations|현혹된 기대
misery in darkness|어둠 속 비참함
the arena champion|투기장의 용사
prometheus' armoury|프로메테우스의 무기고
call to the first ones|최초의 존재들에게 외치다
arrogance of the vaal|바알의 오만
the progeny of lunaris|루나리스의 자손
gift of the gemling queen|마석 여왕의 선물
disdain|경멸
unchained|해방
the traitor|배반자
coveted possession|갈망하던 소유
the deceiver|기만자
the destination|목적지
the ruthless ceinture|무정한 허리띠
the web|거미줄
blessing of god|신의 축복
the rabbit's foot|토끼 발
the dragon|용
a chilling wind|싸늘한 바람
love through ice|얼음을 가르는 사랑
the cache|은닉처
the innocent|결백한 자
the lord in black|어둠 속의 군주
the surgeon|외과의사
brush, paint and palette|붓, 물감과 팔레트
the obscured|가려진 자
the vast|광대함
the beast|짐승
the wolf|늑대
cartographer's delight|지도제작자의 기쁨
destined to crumble|무너질 운명
a fate worse than death|죽음보다 더한 운명
the metalsmith's gift|금속 세공사의 선물
the insane cat|실성한 고양이
the golden era|황금시대
cameria's cut|카메리아의 상처
left to fate|운명에 맡기다
fire of unknown origin|근원을 알 수 없는 화염
the calling|소명
prosperity|번영
turn the other cheek|다른 뺨을 내밀라
rats|쥐
the scholar|학자
scholar of the seas|바다의 학자
atziri's arsenal|앗지리의 병기창
the flora's gift|식물의 선물
sambodhi's wisdom|삼보디의 지혜
mitts|미트
the lich|리치
the wretched|불운아
home|고향
something dark|어두운 것
rain of chaos|카오스의 비
the jeweller's boon|보석 상인의 은혜
the eye of terror|공포의 눈
the opulent|호화로움
underground forest|지하 숲
parasitic passengers|기생충 밥벌레
the avenger|복수자
harmony of souls|영혼의 조화
the wolf's legacy|늑대의 유산
the brittle emperor|말라붙은 황제
peaceful moments|평화로운 순간들
a sea of blue|푸른색의 바다
the forsaken|버림받은 자
the celestial justicar|천공의 심판관
emperor's luck|황제의 행운
the gambler|도박꾼
the fletcher|화살 제조자
void of the elements|원소의 공허
the gladiator|검투사
the demoness|여악마
the card sharp|카드 사기꾼
the coming storm|다가오는 태풍
hunter's reward|사냥꾼의 보상
boundless realms|무한한 영역
the sephirot|세피로트
magnum opus|필생의 걸작
brother's stash|형제의 보관함
the apothecary|약제사
her mask|그녀의 가면
imperfect memories|불완전한 기억
eldritch perfection|섬뜩한 완벽
pride of the first ones|최초의 존재들의 자부심
father's love|아버지의 사랑
the one that got away|도망친 자
loyalty|충성심
the world eater|세계를 먹는 자
audacity|대담성
guardian's challenge|수호자의 시련
the scarred meadow|상처 입은 초원
the hive of knowledge|지식의 산실
soul quenched|갈증을 푼 영혼
the oath|서약
boon of the first ones|최초의 존재들의 은혜
the penitent|참회자
glimmer of hope|희망의 빛
the army of blood|피의 군대
the demon|악마
akil's prophecy|아킬의 예언
the artist|예술가
the heroic shot|영웅적인 시도
the damned|저주받은 자
the price of loyalty|충성의 대가
man with bear|사람과 곰
the deep ones|심해의 존재
the unexpected prize|뜻밖의 포상
the polymath|박식가
prejudice|편견
the visionary|공상가
heterochromia|이색증
the spoiled prince|버릇 없이 자란 왕자
the seeker|탐색자
the catalyst|기폭제
remembrance|추모
the escape|탈주
dark temptation|어둠의 유혹
the explorer|탐험가
the skeleton|해골
the wolf's shadow|늑대의 그림자
the lion|사자
i see brothers|형제가 보인다
the aesthete|탐미주의자
the devastator|파괴자
monochrome|단색화
the garish power|화려한 힘
the offering|공물
the wind|바람
the aspirant|지망자
justified ambition|정당한 야망
the sun|태양
three voices|3개의 목소리
vile power|사악한 힘
shard of fate|운명의 파편
the samurai's eye|사무라이의 눈
the greatest intentions|위대한 뜻
the magma crab|마그마 게
brotherhood in exile|유배의 형제
a mother's parting gift|어머니의 이별 선물
the wrath|진노
the messenger|전달자
the doppelganger|분신
gemcutter's mercy|세공사의 자비
wealth and power|부와 권력
bowyer's dream|활장이의 꿈
duality|이중성
the lord of celebration|축제의 군주
grave knowledge|무덤의 지식
silence and frost|침묵과 서리
the formless sea|무형의 바다
no traces|흔적 없음
haunting shadows|출몰하는 그림자
the wilted rose|시들은 장미
toxic tidings|유독한 소식
lethean temptation|레테의 유혹
the blessing of moosh|무쉬의 축복
from bone to ashes|뼈에서 재로
more is never enough|끝없는 욕심
the king's heart|왕의 심장
cursed words|저주의 말
the easy stroll|편안한 산책
ever-changing|변화무쌍
the side quest|부가 임무
the catch|월척
the mayor|시장
a stone perfected|완벽해진 돌
the valkyrie|발키리
succor of the sinless|결백한 자의 원조
the wolverine|오소리
thirst for knowledge|불타는 지식욕
the sigil|부적
the eldritch decay|섬뜩한 부패
dementophobia|실성 공포증
the sustenance|자양분
the fox|여우
the forgotten treasure|잊혀진 보물
the cartographer|지도제작자
the mad king|미치광이 왕
the forward gaze|전면 응시
endless night|끝없는 밤
the spark and the flame|불꽃과 화염
the trial|시험
three faces in the dark|어둠 속의 세 얼굴
broken truce|깨진 휴전
the finishing touch|화룡점정
thunderous skies|천둥 치는 하늘
rebirth|부활
the battle born|타고난 전투원
the tower|탑
vinia's token|비니아의 증표
lucky connections|행운의 연결
forbidden power|금지된 힘
beauty through death|죽음을 지나온 아름다움
the last supper|최후의 만찬
further invention|추가 발명
abandoned wealth|버려진 재산
the primordial|태고
the puzzle|수수께끼
rebirth and renewal|부활과 새로운 시작
the long con|기나긴 속임수
the endless darkness|끝없는 어둠
the scout|정찰병
the enthusiasts|열광자들
a note in the wind|바람 속의 기록
luminous trove|빛나는 발견물
draped in dreams|드리운 꿈
the queen|여왕
the watcher|감시자
assassin's gift|암살자의 선물
the dragon's heart|용의 심장
time-lost relic|오래된 유물
deathly designs|치명적인 설계
rain tempter|비 유혹자
poisoned faith|독을 품은 믿음
the cacophony|불협화음
dialla's subjugation|디알라의 예속
bijoux|보석
unrequited love|짝사랑
the survivalist|생존주의자
the surveyor|측량사
the bones|뼈
gemcutter's promise|세공사의 약속
a modest request|소박한 부탁
the undisputed|모두가 인정하는 자
the hook|갈고리
anarchy's price|혼란의 가치
the shepherd's sandals|양치기의 샌들
the road to power|힘에 이르는 길
etched in blood|아로새겨진 피
the patient|환자
the transformation|변화
the mercenary|용병
the price of prescience|선지의 대가
winter's embrace|겨울의 포옹
friendship|우정
the leviathan|레비아탄
the siren|사이렌
the pack leader|무리의 우두머리
the hale heart|건강한 심장
the dark mage|어둠 마법사
the warlord|전쟁군주
the one with all|만인과 함께하는 자
the immortal|불멸자
the twilight moon|황혼의 달
chaotic disposition|혼돈의 결정
alivia's grace|알리비아의 은총
the professor|교수
blind venture|무모한 모험
the twins|쌍둥이
the shieldbearer|방패 운반자
the rusted bard|녹슨 음유시인
the king's blade|왕의 검
the awakened|깨어난 자
matryoshka|마트료시카
the nurse|간호사
the realm|영역
the fortunate|행운아
emperor of purity|정화의 황제
choking guilt|숨막히는 죄책감
the lover|연인
the fathomless depths|깊이 모를 심연
the ethereal|천상에 속한 자
the lunaris priestess|루나리스 여사제
luck of the vaal|바알의 행운
the union|결합
divine justice|신성한 정의
the wolven king's bite|늑대왕의 이빨
sambodhi's vow|삼보디의 맹세
the encroaching darkness|잠식해오는 어둠
fateful meeting|운명적인 만남
costly curio|값비싼 예술품
the fool|어리석은 자
a dusty memory|먼지 쌓인 기억
the summoner|소환자
the deal|거래
the mind's eyes|마음의 눈
birth of the three|세 여신의 탄생
triskaidekaphobia|13 공포증
hunter's resolve|사냥꾼의 결의
the saint's treasure|성자의 보물
the rite of elements|원소의 의식
the feast|연회
the hunger|굶주림
a familiar call|귀에 익은 외침
demigod's wager|반신의 내기
burning blood|불타는 피
the rabid rhoa|광포한 로아
broken promises|깨진 약속
the admirer|숭배자
astral protection|우주의 보호
temperance|자제
the warden|간수
the tinkerer's table|땜장이의 작업대
the inoculated|접종자
humility|겸손
the eternal war|영원한 전쟁
light and truth|빛과 진실
the craving|갈망
the white knight|백기사
mawr blaidd|모어 블레이드
society's remorse|사회의 회한
the harvester|수확자
the adventuring spirit|모험 정신
the standoff|교착 상태
the enlightened|계몽된 자
the conduit|도관
lonely warrior|외로운 전사
lost worlds|잃어버린 세계
divine beauty|신성한 아름다움
the enforcer|집행자
the tyrant|폭군
last hope|최후의 희망
pride before the fall|몰락 직전의 긍지
hope|희망
the cursed king|저주받은 왕
keeper's corruption|보관자의 타락
acclimatisation|순응
tranquillity|평온
the master artisan|장인
the fiend|마귀
earth drinker|대지 흡수자
the whiteout|백시
judging voices|판단하는 목소리
treasure hunter|보물 사냥꾼
the throne|왕좌
desperate crusade|필사적인 성전
the inventor|발명가
the gentleman|신사
the wedding gift|결혼 선물
the landing|상륙
dark dreams|암흑의 꿈
the soul|영혼
the life thief|생명력 도둑
alluring bounty|유혹의 하사품
the hermit|은둔자
lachrymal necrosis|눈물샘의 괴사
the celestial stone|천공의 돌
lantador's lost love|란타도어의 죽은 연인
the pact|계약
lysah's respite|라이사의 휴식
desecrated virtue|훼손된 미덕
volatile power|불안한 권력
the mountain|산
the archmage's right hand|대마법사의 심복
the jester|어릿광대
squandered prosperity|허비된 번영
ambitious obsession|야심찬 집착
who asked|누가 물었느냐
the bear woman|웅녀
the long watch|오랜 감시
the offspring|자손
the emptiness|허무
doedre's madness|도이드리의 광기
the scavenger|시체 청소부
the sacrifice|희생
the old man|노인
the bargain|협상
imperial legacy|제국의 유산
the undaunted|의연한 자
the doctor|의사
the price of devotion|헌신의 대가
the fishmonger|생선 장수
council of cats|고양이 의회
reckless ambition|무모한 야망
the witch|마녀
seven years bad luck|7년 간의 불운
doryani's epiphany|도리아니의 통찰
the hoarder|비축가
the price of protection|보호의 대가
lingering remnants|지속되는 유물
the tumbleweed|회전초
the stormcaller|폭풍 소환사
checkmate|체크메이트
the porcupine|호저
the dapper prodigy|말쑥한 영재
death|죽음
might is right|힘이 정의다
the insatiable|만족을 모르는 자
brother's gift|형제의 선물
avian pursuit|새의 추적
the master|대가
a dab of ink|약간의 잉크
the endurance|인내
the chains that bind|속박의 사슬
the dreamer|몽상가
darker half|어두운 이면
the sword king's salute|검의 제왕의 경례
the strategist|전략가
chasing risk|위험을 좇아서
lucky deck|행운의 카드 묶음
the shortcut|지름길
the return of the rat|쥐의 귀환
alone in the darkness|어둠 속에서 홀로
the bitter blossom|쓰라린 만개
the astromancer|점성술사
the void|공허
buried treasure|파묻힌 보물
the body|몸통
altered perception|변질된 감각
the carrion crow|까마귀
the incantation|주문
the gemcutter|세공사
jack in the box|깜짝 상자
azyran's reward|아지란의 보상
perfection|완벽
mausoleum map (tier 11)|능묘 지도 (등급 11)
spider lair map (tier 9)|거미 소굴 지도 (등급 9)
mausoleum map (tier 15)|능묘 지도 (등급 15)
forbidden woods map (tier 10)|금단의 숲 지도 (등급 10)
maze of the minotaur map (tier 16)|미노타우로스의 미로 지도 (등급 16)
racecourse map (tier 14)|경주장 지도 (등급 14)
toxic sewer map (tier 12)|맹독성 하수도 지도 (등급 12)
cursed crypt map (tier 10)|저주받은 지하실 지도 (등급 10)
tropical island map (tier 9)|열대 섬 지도 (등급 9)
racecourse map (tier 16)|경주장 지도 (등급 16)
racecourse map (tier 10)|경주장 지도 (등급 10)
toxic sewer map (tier 16)|맹독성 하수도 지도 (등급 16)
tropical island map (tier 5)|열대 섬 지도 (등급 5)
silo map (tier 16)|곡물 창고 지도 (등급 16)
belfry map (tier 9)|종탑 지도 (등급 9)
silo map (tier 15)|곡물 창고 지도 (등급 15)
dunes map (tier 9)|사구 지도 (등급 9)
tropical island map (tier 2)|열대 섬 지도 (등급 2)
ziggurat map (tier 17)|지구라트 지도 (등급 17)
silo map (tier 11)|곡물 창고 지도 (등급 11)
belfry map (tier 6)|종탑 지도 (등급 6)
marshes map (tier 3)|습지 지도 (등급 3)
infested valley map (tier 15)|감염된 계곡 지도 (등급 15)
infested valley map (tier 16)|감염된 계곡 지도 (등급 16)
ramparts map (tier 15)|성벽 지도 (등급 15)
courthouse map (tier 16)|법원 지도 (등급 16)
dig map (tier 13)|발굴지 지도 (등급 13)
lookout map (tier 12)|전망대 지도 (등급 12)
dry sea map (tier 3)|메마른 바다 지도 (등급 3)
cursed crypt map (tier 16)|저주받은 지하실 지도 (등급 16)
courthouse map (tier 15)|법원 지도 (등급 15)
infested valley map (tier 12)|감염된 계곡 지도 (등급 12)
marshes map (tier 6)|습지 지도 (등급 6)
cursed crypt map (tier 14)|저주받은 지하실 지도 (등급 14)
courthouse map (tier 12)|법원 지도 (등급 12)
ramparts map (tier 16)|성벽 지도 (등급 16)
dig map (tier 16)|발굴지 지도 (등급 16)
crystal ore map (tier 16)|수정 광석 지도 (등급 16)
dry sea map (tier 6)|메마른 바다 지도 (등급 6)
leyline map (tier 16)|지맥 지도 (등급 16)
forge of the phoenix map (tier 16)|불사조의 대장간 지도 (등급 16)
bone crypt map (tier 16)|뼈 지하실 지도 (등급 16)
haunted mansion map (tier 9)|으스스한 대저택 지도 (등급 9)
ramparts map (tier 11)|성벽 지도 (등급 11)
leyline map (tier 13)|지맥 지도 (등급 13)
dig map (tier 10)|발굴지 지도 (등급 10)
leyline map (tier 10)|지맥 지도 (등급 10)
bone crypt map (tier 12)|뼈 지하실 지도 (등급 12)
colosseum map (tier 16)|원형 경기장 지도 (등급 16)
lava lake map (tier 16)|용암 호수 지도 (등급 16)
promenade map (tier 6)|산책로 지도 (등급 6)
lair of the hydra map (tier 16)|히드라의 소굴 지도 (등급 16)
spider forest map (tier 7)|거미 숲 지도 (등급 7)
promenade map (tier 9)|산책로 지도 (등급 9)
lava lake map (tier 13)|용암 호수 지도 (등급 13)
carcass map (tier 16)|시체 지도 (등급 16)
coves map (tier 16)|만 지도 (등급 16)
temple map (tier 16)|사원 지도 (등급 16)
coves map (tier 14)|만 지도 (등급 14)
carcass map (tier 13)|시체 지도 (등급 13)
temple map (tier 14)|사원 지도 (등급 14)
geode map (tier 15)|정동석 지도 (등급 15)
dark forest map (tier 9)|어둠의 숲 지도 (등급 9)
geode map (tier 12)|정동석 지도 (등급 12)
lighthouse map (tier 16)|등대 지도 (등급 16)
arachnid tomb map (tier 8)|거미류 무덤 지도 (등급 8)
coral ruins map (tier 9)|산호 유적 지도 (등급 9)
sepulchre map (tier 16)|매장소 지도 (등급 16)
geode map (tier 16)|정동석 지도 (등급 16)
dark forest map (tier 2)|어둠의 숲 지도 (등급 2)
dark forest map (tier 5)|어둠의 숲 지도 (등급 5)
maps (tier 1)|지도(1등급)
maps (tier 2)|지도(2등급)
maps (tier 3)|지도(3등급)
maps (tier 4)|지도(4등급)
maps (tier 5)|지도(5등급)
maps (tier 6)|지도(6등급)
maps (tier 7)|지도(7등급)
maps (tier 8)|지도(8등급)
maps (tier 9)|지도(9등급)
maps (tier 10)|지도(10등급)
maps (tier 11)|지도(11등급)
maps (tier 12)|지도(12등급)
maps (tier 13)|지도(13등급)
maps (tier 14)|지도(14등급)
maps (tier 15)|지도(15등급)
maps (tier 16)|지도(16등급)
maps (tier 17)|지도(17등급)
siege map (tier 8)|공성 지도 (등급 8)
summit map (tier 8)|꼭대기 지도 (등급 8)
port map (tier 11)|항만 지도 (등급 11)
dunes map (tier 2)|사구 지도 (등급 2)
dunes map (tier 5)|사구 지도 (등급 5)
marshes map (tier 14)|습지 지도 (등급 14)
siege map (tier 4)|공성 지도 (등급 4)
marshes map (tier 16)|습지 지도 (등급 16)
summit map (tier 5)|꼭대기 지도 (등급 5)
academy map (tier 16)|학술원 지도 (등급 16)
mausoleum map (tier 7)|능묘 지도 (등급 7)
siege map (tier 1)|공성 지도 (등급 1)
toxic sewer map (tier 9)|맹독성 하수도 지도 (등급 9)
academy map (tier 15)|학술원 지도 (등급 15)
mausoleum map (tier 4)|능묘 지도 (등급 4)
gardens map (tier 12)|정원 지도 (등급 12)
castle ruins map (tier 16)|성곽 유적 지도 (등급 16)
cells map (tier 15)|감방 지도 (등급 15)
museum map (tier 16)|박물관 지도 (등급 16)
crimson township map (tier 16)|진홍색 마을 지도 (등급 16)
cells map (tier 16)|감방 지도 (등급 16)
strand map (tier 16)|해안 지도 (등급 16)
gardens map (tier 16)|정원 지도 (등급 16)
crimson township map (tier 14)|진홍색 마을 지도 (등급 14)
cells map (tier 7)|감방 지도 (등급 7)
museum map (tier 12)|박물관 지도 (등급 12)
museum map (tier 15)|박물관 지도 (등급 15)
crimson township map (tier 11)|진홍색 마을 지도 (등급 11)
strand map (tier 10)|해안 지도 (등급 10)
marshes map (tier 10)|습지 지도 (등급 10)
forbidden woods map (tier 14)|금단의 숲 지도 (등급 14)
port map (tier 14)|항만 지도 (등급 14)
shore map (tier 13)|바닷가 지도 (등급 13)
cells map (tier 4)|감방 지도 (등급 4)
forbidden woods map (tier 16)|금단의 숲 지도 (등급 16)
strand map (tier 14)|해안 지도 (등급 14)
castle ruins map (tier 13)|성곽 유적 지도 (등급 13)
port map (tier 16)|항만 지도 (등급 16)
shore map (tier 16)|바닷가 지도 (등급 16)
mesa map (tier 7)|메사 지도 (등급 7)
cemetery map (tier 7)|공동묘지 지도 (등급 7)
desert spring map (tier 16)|사막의 샘 지도 (등급 16)
spider lair map (tier 16)|거미 소굴 지도 (등급 16)
mesa map (tier 4)|메사 지도 (등급 4)
desert spring map (tier 13)|사막의 샘 지도 (등급 13)
vaal pyramid map (tier 4)|바알 피라미드 지도 (등급 4)
terrace map (tier 16)|테라스 지도 (등급 16)
spider lair map (tier 12)|거미 소굴 지도 (등급 12)
cursed crypt map (tier 7)|저주받은 지하실 지도 (등급 7)
courtyard map (tier 5)|안뜰 지도 (등급 5)
glacier map (tier 16)|빙하 지도 (등급 16)
atoll map (tier 5)|산호섬 지도 (등급 5)
courtyard map (tier 8)|안뜰 지도 (등급 8)
sanctuary map (tier 17)|성역 지도 (등급 17)
terrace map (tier 15)|테라스 지도 (등급 15)
atoll map (tier 8)|산호섬 지도 (등급 8)
cemetery map (tier 4)|공동묘지 지도 (등급 4)
forbidden woods map (tier 7)|금단의 숲 지도 (등급 7)
vaal pyramid map (tier 7)|바알 피라미드 지도 (등급 7)
vault map (tier 16)|금고실 지도 (등급 16)
vault map (tier 15)|금고실 지도 (등급 15)
cold river map (tier 8)|차가운 강 지도 (등급 8)
cemetery map (tier 11)|공동묘지 지도 (등급 11)
vault map (tier 11)|금고실 지도 (등급 11)
citadel map (tier 17)|성채 지도 (등급 17)
cemetery map (tier 15)|공동묘지 지도 (등급 15)
jungle valley map (tier 8)|밀림 계곡 지도 (등급 8)
moon temple map (tier 4)|달의 사원 지도 (등급 4)
carcass map (tier 5)|시체 지도 (등급 5)
cemetery map (tier 16)|공동묘지 지도 (등급 16)
carcass map (tier 2)|시체 지도 (등급 2)
maze map (tier 16)|미로 지도 (등급 16)
city square map (tier 11)|도시 광장 지도 (등급 11)
carcass map (tier 9)|시체 지도 (등급 9)
grotto map (tier 11)|석굴 지도 (등급 11)
grotto map (tier 14)|석굴 지도 (등급 14)
glacier map (tier 13)|빙하 지도 (등급 13)
grotto map (tier 16)|석굴 지도 (등급 16)
city square map (tier 15)|도시 광장 지도 (등급 15)
maze map (tier 14)|미로 지도 (등급 14)
city square map (tier 16)|도시 광장 지도 (등급 16)
dry sea map (tier 10)|메마른 바다 지도 (등급 10)
dry sea map (tier 14)|메마른 바다 지도 (등급 14)
moon temple map (tier 7)|달의 사원 지도 (등급 7)
dry sea map (tier 16)|메마른 바다 지도 (등급 16)
graveyard map (tier 12)|묘지 지도 (등급 12)
plateau map (tier 16)|고원 지도 (등급 16)
flooded mine map (tier 13)|물에 잠긴 광산 지도 (등급 13)
flooded mine map (tier 16)|물에 잠긴 광산 지도 (등급 16)
plateau map (tier 12)|고원 지도 (등급 12)
channel map (tier 14)|물길 지도 (등급 14)
channel map (tier 16)|물길 지도 (등급 16)
lair map (tier 9)|소굴 지도 (등급 9)
fortress map (tier 17)|요새 지도 (등급 17)
lair map (tier 5)|소굴 지도 (등급 5)
vault map (tier 7)|금고실 지도 (등급 7)
channel map (tier 10)|물길 지도 (등급 10)
lair map (tier 2)|소굴 지도 (등급 2)
burial chambers map (tier 10)|묘실 지도 (등급 10)
scriptorium map (tier 12)|필사실 지도 (등급 12)
vault map (tier 4)|금고실 지도 (등급 4)
burial chambers map (tier 13)|묘실 지도 (등급 13)
graveyard map (tier 16)|묘지 지도 (등급 16)
scriptorium map (tier 16)|필사실 지도 (등급 16)
burial chambers map (tier 16)|묘실 지도 (등급 16)
foundry map (tier 11)|주조소 지도 (등급 11)
foundry map (tier 16)|주조소 지도 (등급 16)
colosseum map (tier 6)|원형 경기장 지도 (등급 6)
ancient city map (tier 5)|고대 도시 지도 (등급 5)
ancient city map (tier 8)|고대 도시 지도 (등급 8)
foundry map (tier 14)|주조소 지도 (등급 14)
colosseum map (tier 9)|원형 경기장 지도 (등급 9)
abomination map (tier 17)|흉물 지도 (등급 17)
tropical island map (tier 13)|열대 섬 지도 (등급 13)
basilica map (tier 9)|교회당 지도 (등급 9)
bog map (tier 3)|습지대 지도 (등급 3)
tropical island map (tier 16)|열대 섬 지도 (등급 16)
bog map (tier 6)|습지대 지도 (등급 6)
fields map (tier 16)|들판 지도 (등급 16)
fields map (tier 12)|들판 지도 (등급 12)
pit of the chimera map (tier 16)|키메라의 구덩이 지도 (등급 16)
